"","cult","cult.1"
"116","Terciopelo (manojo)","Terciopelo (manojo)"
"117","Cafe cereza","Cafe cereza"
"118","Platano","Platano"
"119","Cana de azucar fruta","Cana de azucar fruta"
"120","Mamey","Mamey"
"121","Mango","Mango"
"122","Papaya","Papaya"
"123","Nardo (gruesa)","Nardo (gruesa)"
"124","Col de bruselas","Col de bruselas"
"125","Camote","Camote"
"126","Granada","Granada"
"127","Triticale grano","Triticale grano"
"128","Calabaza","Calabaza"
"129","Okra (angu o gombo)","Okra (angu o gombo)"
"130","Cana de azucar","Cana de azucar"
"131","Guaje","Guaje"
"132","Naranja","Naranja"
"133","Toronja (pomelo)","Toronja (pomelo)"
"134","Sandia","Sandia"
"135","Caimito","Caimito"
"136","Tamarindo","Tamarindo"
"137","Albahaca","Albahaca"
"138","Litchi","Litchi"
"139","Nanche","Nanche"
"140","Especias y medicinales","Especias y medicinales"
"141","Yuca alimenticia","Yuca alimenticia"
"142","Berenjena","Berenjena"
"143","Pasto tapete (m2)","Pasto tapete (m2)"
"144","Zempoalxochitl","Zempoalxochitl"
"145","Chirimoya","Chirimoya"
"146","Carambolo","Carambolo"
"147","Maracuya","Maracuya"
"148","Chayote","Chayote"
"149","Guanabana","Guanabana"
"150","Papalo","Papalo"
"151","Sabila","Sabila"
"152","Garbanzo grano","Garbanzo grano"
"153","Mandarina","Mandarina"
"154","Te limon","Te limon"
"155","Calabaza semilla o chihua","Calabaza semilla o chihua"
"156","Crisantemo","Crisantemo"
"157","Huauzontle","Huauzontle"
"158","Statice","Statice"
"159","Albricia","Albricia"
"160","Alheli","Alheli"
"161","Flor perrito","Flor perrito"
"162","Hierbabuena","Hierbabuena"
"163","Rosa","Rosa"
"164","Chile seco","Chile seco"
"165","Pitahaya","Pitahaya"
"166","Pitaya","Pitaya"
"167","Ajo","Ajo"
"168","Canola","Canola"
"169","Colza","Colza"
"170","Centeno grano","Centeno grano"
"171","Ebo (janamargo o veza) seco","Ebo (janamargo o veza) seco"
"172","Inmortal (manojo)","Inmortal (manojo)"
"173","Macadamia","Macadamia"
"174","Semilla de jicama","Semilla de jicama"
"175","Ajonjoli","Ajonjoli"
"176","Pipicha","Pipicha"
"177","Trebol","Trebol"
"178","Semilla de colza","Semilla de colza"
"179","Flores","Flores"
"180","Nochebuena","Nochebuena"
"181","Clavel","Clavel"
"182","Geranio","Geranio"
"183","Maguey pulquero","Maguey pulquero"
"184","Agapando","Agapando"
"185","Alcatraz","Alcatraz"
"186","Girasol flor","Girasol flor"
"187","Gladiola","Gladiola"
"188","Margarita","Margarita"
"189","Inmortal","Inmortal"
"190","Aretillo","Aretillo"
"191","Begonia","Begonia"
"192","Belen","Belen"
"193","Calancoe","Calancoe"
"194","Cineraria","Cineraria"
"195","Cyclamen","Cyclamen"
"196","Hortensia","Hortensia"
"197","Pensamiento","Pensamiento"
"198","Petunia","Petunia"
"199","Lilium","Lilium"
"200","Aster","Aster"
"201","Solidago","Solidago"
"202","Ave del paraiso","Ave del paraiso"
"203","Gerbera","Gerbera"
"204","Dolar","Dolar"
"205","Alstroemeria","Alstroemeria"
"206","Terciopelo","Terciopelo"
"207","Nardo","Nardo"
"208","Pasto tapete","Pasto tapete"
"209","Soya","Soya"
"210","Semilla de Maiz grano","Semilla de Maiz grano"
"211","Pon-pon","Pon-pon"
"212","Limonium","Limonium"
"213","Helecho","Helecho"
"214","Polar","Polar"
"215","Girasol","Girasol"
"216","Almacigo","Almacigo"
"217","arbol de navidad","arbol de navidad"
"218","Estropajo","Estropajo"
"219","Centeno forrajero en verde","Centeno forrajero en verde"
"220","Hongos, setas y champinones","Hongos, setas y champinones"
"221","Mano de leon","Mano de leon"
"222","Muzu","Muzu"
"223","Jamaica","Jamaica"
"224","Melon","Melon"
"225","Tomillo","Tomillo"
"226","Bangana","Bangana"
"227","Cana de azucar forrajera","Cana de azucar forrajera"
"228","Chia","Chia"
"229","Arandano","Arandano"
"230","Pastos y praderas achicalado","Pastos y praderas achicalado"
"231","Aceituna","Aceituna"
"232","Triticale forrajero en verde","Triticale forrajero en verde"
"233","Semilla de papa","Semilla de papa"
"234","Coco fruta","Coco fruta"
"235","Maguey mixiotero","Maguey mixiotero"
"236","Nabo (verdura)","Nabo (verdura)"
"237","Oregano","Oregano"
"238","Semilla de cana de azucar","Semilla de cana de azucar"
"239","Semilla de canola","Semilla de canola"
"240","Canola forrajera","Canola forrajera"
"241","Lilium (azucena)","Lilium (azucena)"
"242","Semilla de triticale grano","Semilla de triticale grano"
"243","Semilla de haba","Semilla de haba"
"244","Cartamo","Cartamo"
"245","Semilla de frijol","Semilla de frijol"
"246","Semilla de trigo grano","Semilla de trigo grano"
"247","Napa","Napa"
"248","Esparrago","Esparrago"
"249","Semilla de girasol","Semilla de girasol"
"250","Dalia","Dalia"
"251","Semilla de avena grano","Semilla de avena grano"
"252","Flor lisianthus","Flor lisianthus"
"253","Pinon","Pinon"
"254","Jatropha","Jatropha"
"255","Uva","Uva"
"256","Higuerilla","Higuerilla"
"257","arbol de navidad (planta)","arbol de navidad (planta)"
